Opinion_Phrases,Relevant_Words,Sentiment_Expressions,Aspect,Product,Sentiment,Reviews
screen stopped working,"had, went, returned, was, given, took, registered, loaded, worked, went, returned, thinking, got, received, did, worked, stopped, working","dead, current, dead, first, bad",screen,gps,NEGATIVE,"I had the Garmin 2360 LMT GPS for 1 day, and the screen completly went dead, I returned it to Bestbuy and was given another Garmin 2360 LMT, and took that home registered it down loaded the maps and current software, that unit worked for a day and a half and the screen went dead, returned it to another Bestbuy, thinking the first Bestbuy got a bad shipment of GPSs, and received another Gamin 2360 LMT, did the downloads, and that unit worked two days before the   screen stopped working  .  "
screen went dead,"Went, received, lasted, went",dead,screen,gps,NEGATIVE,"Went to another Bestbuy and received another Garmin 2360 LMT and that lasted 3 months, and the   screen went dead   on 12152011.  "
screen just goes dead,"told, returned, are, returning, goes, turn","last, same, dead",screen,gps,NEGATIVE,"DO NOT BUY THE GARMIN 2360 LMT, Customer service at Bestbuy just told me on 12152011 when I returned the Garmin 2360 LMT for the last time, that a number of people are returning their 2360 LMT models for the same problems, the   screen just goes dead  , and the unit will not turn back on.  "
screen is way too responsive,"is, goes",responsive,screen,gps,NEGATIVE,The touch   screen is way too responsive  ; goes all over the place.  
breaking the screen,"is, lost, fell, breaking",only,screen,gps,NEGATIVE,"My only problem is that the Suction cup lost suction on a glass surface and the Garmin fell,   breaking the screen  .  "
broken screen,"had, been, had, fallen, is","next, broken",screen,gps,NEGATIVE,It had been on the windshield all day and the next morning it had fallen and is now a paperweight with a   broken screen  .  
screen resolution too small,"had, did, know, lived, was, offered, yielded, lacks, verify, routing, use, included","many, nuvi, poor, wrong, w, quick, small, effective, tedious, inaccessible, nonpublic",screen,gps,NEGATIVE,"I had many issues with the nuvi 350: poor user interface, did not ""know"" where we lived (town name was in database but not in entry list offered), yielded totally wrong destination town wtest of directions (lacks quick means to verify routing),   screen resolution too small   for effective use, zoom function rather tedious to use, points of interest list included inaccessible (ie, nonpublic!  "
screen is incredibly temperamental,is,temperamental,screen,gps,NEGATIVE,Also  the touch   screen is incredibly temperamental  .  
screen navigation is a bit strange,"is, is, be, improved","usable, strange",screen,gps,NEGATIVE,The screen size is very usable but the   screen navigation is a bit strange   and could be considerably improved.  
screen display makes odd jumps,"makes, try, change, is, flying, look","odd, high",screen,gps,NEGATIVE,  screen display makes odd jumps   and view changes when i try to change how high the balloon is flying while i look down at the terrain.  
screen can get extremely bright,get,bright,screen,gps,POSITIVE,The pros: 1) The   screen can get extremely bright  .  
issue reading the screen,"have, set, have, had, reading",daytime,screen,gps,NEGATIVE,"I have mine set at 40 brightness, and I have never had an   issue reading the screen   in the daytime.  "
couldnt select screen options,"have, had, is, select, had, press",horizontal,screen,gps,NEGATIVE,"I have had Garmins since 1998 with no problems: this one is the exception:   couldnt select screen options   by a ""touch"" but had to press; then it wouldnt power off and then horizontal lines through the screen.  "
screen is the same as the one that died,"Received, is, working, have, had, is, died, is, have, had, have, tap, squeeze","same, sensitive, prior",screen,gps,NEGATIVE,"Update Nov 2011:  Received a replacement and is working for the 3 weeks I have had it but the ""touch""   screen is the same as the one that died  ; it isnt sensitive like the prior models I have had and I have to tap or even squeeze the selections.  "
screen is jumpy,is,"Next, jumpy",screen,gps,NEGATIVE,"Next, the   screen is jumpy  .  "
get the sat screen to load,"removed, got, quicktouching, taking, have, press, hold, get, sat",more,screen,gps,NEGATIVE,(They also removed the feature you got by quicktouching the Sat Signal icon taking you to the satellites screen  you have to press and hold the Signal icon for more then 10 seconds to   get the sat screen to load  .  
screen is not sensitive,"is, is, wiped","sensitive, clear",screen,gps,NEGATIVE,The touch   screen is not sensitive   and the screen is not clear even I wiped it.  
screen goes blank,"goes, redraw, navigating","blank, several",screen,gps,NEGATIVE,Sometimes   screen goes blank   for several seconds to redraw while navigating.  
screen is very crude,is,"crude, low, bad, insensitive, resistive",screen,gps,NEGATIVE,"The touch   screen is very crude  , low resolution, with bad accuracy, way too insensitive even for a resistive touch screen.  "
screen fills with ads,"fills, re, driving, are, distracting",super,screen,gps,NEGATIVE,The   screen fills with ads   while youre driving that are super distracting.  
screen is not as responsive,"is, be",responsive,screen,gps,NEGATIVE,2  The touch   screen is not as responsive   as it should be.  
screen is not as good,is,good,screen,gps,NEGATIVE, Touch   screen is not as good  .  
"touchscreen, its nearly unuseable","takes, trying, get, read, s","much, unuseable",screen,gps,NEGATIVE,"It takes so much trying to get it to read my finger on the   touchscreen, its nearly unuseable  .  "
screen requires too much pressure,requires,"tough, much",screen,gps,NEGATIVE,The tough   screen requires too much pressure  .  
screen became washed out,"used, remove, became, washed",white,screen,gps,NEGATIVE,"I used the ""safely remove hardware"" button on my PC and the   screen became washed out   with white.  "
screen function is delayed,"is, delayed, have, hold, get","little, long",screen,gps,NEGATIVE,"Also the touch   screen function is delayed  , you have to hold your finger on the screen for a little too long to get a response.  "
screen real estate is also wasted,"is, wasted","additional, real",screen,gps,NEGATIVE,The additional   screen real estate is also wasted  .  
screen broke during travel,"bought, needed, broke",magellan,screen,gps,NEGATIVE,bought this unit from walmart because I needed a unit quickly since my magellan 2145s   screen broke during travel  .  
issues with the touch screen,"ve, had",many,screen,gps,NEGATIVE,Ive had many   issues with the touch screen   of this device.  
screen seems to freeze up,"set, use, seems, freeze, was, recalibrate",fickle,screen,gps,NEGATIVE,"And sometimes when I set out to use it, the   screen seems to freeze up   intermittently and was so fickle, I couldnt even recalibrate it.  "
screen contains useless information,"contains, gives, display, deem, is","useless, useful, available, internal",screen,gps,NEGATIVE,"Trip info   screen contains useless information   (in my opinion), and gives no option to display trip information I deem useful (even though it is readily available somewhere internal to the Garmin).  "
missing screen information,"give, m, find, missing, are, are, considering, trying, consider, jump","sure, many, critical, long",screen,gps,NEGATIVE,"I give this unit a 3 star rating, because Im sure many will not find the   missing screen information   critical, but if any of you out there are long time TomTom users, and are considering trying Garmin, consider long and hard before you jump ship.  "
screen is not responsive,"is, is, locked, inputting","main, responsive, most",screen,gps,NEGATIVE,"The main complaint is that the touch   screen is not responsive  , and most of the times, it just locked up in the middle of inputting an addresses.  "
